#This is a tab-delimited file. Additional Documentation can be found at http://www.mothur.org/wiki/MIMarks_Data_Packages.
#Please fill all the required fields indicated with '*'
#Unknown or inapplicable fields can be assigned 'missing' value.
#You may add extra custom fields to this template. Make sure all the fields are separated by tabs.
#You may remove any fields not required (marked with '*'). Make sure all the fields are separated by tabs.
#You can edit this template using Microsoft Excel or any other editor. But while saving the file please make sure to save them as 'TAB-DELIMITED' TEXT FILE.
#MIMARKS.survey.host-associated.4.0
#{sample name}	{description of sample}	{sample title}	{description of library_construction_protocol}	{http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=408169&lvl=3&keep=1&srchmode=1&unlock}	{Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)}	{descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{descriptor of the local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"}	{The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, "Homo sapiens".}	{The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W}
#{text}	{text}	{text}	{text}	{controlled vacabulary}	{{timestamp}}	{{term}}	{{term}}	{{term}}	{{term}:{term}:{text}}	{{none}}	{{float} {float}}
group	mouse_id	day	weight	cfu	antibiotic	collection_date	treatment_diluton	metadata_label	exp	dob	cage	outcome	timepoint	sample_name	description	sample_title	seq_methods	organism	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
f_5_2_d6	f_5_2	6	23.7	0	Streptomycin	2019-07-09	-1	f_5_2_d6	5	2019-04-25	F5	uninfected	dpi	f_5_2_d6	Day 6 ,relative to C. difficile challenge, fecal sample from mouse f_5_2 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_2 , Day 6 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_1_d6	m_5_1	6	24.9	2466666.667	Streptomycin	2019-07-09	-2	m_5_1_d6	5	2019-04-25	M5	cleared	dpi	m_5_1_d6	Day 6 ,relative to C. difficile challenge, fecal sample from mouse m_5_1 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_1 , Day 6 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_2_d6	m_5_2	6	26.5	3300	Streptomycin	2019-07-09	-2	m_5_2_d6	5	2019-04-25	M5	cleared	dpi	m_5_2_d6	Day 6 ,relative to C. difficile challenge, fecal sample from mouse m_5_2 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_2 , Day 6 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_1_d6	l_5_1	6	24.4	0	Streptomycin	2019-07-09	-3	l_5_1_d6	5	2019-04-11	L5	cleared	dpi	l_5_1_d6	Day 6 ,relative to C. difficile challenge, fecal sample from mouse l_5_1 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_1 , Day 6 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_2_d6	l_5_2	6	25.6	0	Streptomycin	2019-07-09	-3	l_5_2_d6	5	2019-04-11	L5	cleared	dpi	l_5_2_d6	Day 6 ,relative to C. difficile challenge, fecal sample from mouse l_5_2 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_2 , Day 6 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_1_d7	nt_5_1	7	27.2	14990000	Streptomycin	2019-07-10	PBS	nt_5_1_d7	5	2019-04-11	NT5	colonized	dpi	nt_5_1_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse nt_5_1 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_1 , Day 7 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_2_d7	nt_5_2	7	26.1	5160000	Streptomycin	2019-07-10	PBS	nt_5_2_d7	5	2019-04-11	NT5	colonized	dpi	nt_5_2_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse nt_5_2 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_2 , Day 7 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_1_d7	f_5_1	7	25.7	0	Streptomycin	2019-07-10	-1	f_5_1_d7	5	2019-04-25	F5	uninfected	dpi	f_5_1_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse f_5_1 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_1 , Day 7 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_2_d7	f_5_2	7	23.6	0	Streptomycin	2019-07-10	-1	f_5_2_d7	5	2019-04-25	F5	uninfected	dpi	f_5_2_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse f_5_2 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_2 , Day 7 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_1_d7	m_5_1	7	24.8	107000	Streptomycin	2019-07-10	-2	m_5_1_d7	5	2019-04-25	M5	cleared	dpi	m_5_1_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse m_5_1 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_1 , Day 7 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_2_d7	m_5_2	7	26.5	3600	Streptomycin	2019-07-10	-2	m_5_2_d7	5	2019-04-25	M5	cleared	dpi	m_5_2_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse m_5_2 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_2 , Day 7 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_1_d7	l_5_1	7	24.7	0	Streptomycin	2019-07-10	-3	l_5_1_d7	5	2019-04-11	L5	cleared	dpi	l_5_1_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse l_5_1 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_1 , Day 7 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_2_d7	l_5_2	7	25.8	0	Streptomycin	2019-07-10	-3	l_5_2_d7	5	2019-04-11	L5	cleared	dpi	l_5_2_d7	Day 7 ,relative to C. difficile challenge, fecal sample from mouse l_5_2 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_2 , Day 7 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_1_d8	nt_5_1	8	26.9	9500000	Streptomycin	2019-07-11	PBS	nt_5_1_d8	5	2019-04-11	NT5	colonized	dpi	nt_5_1_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse nt_5_1 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_1 , Day 8 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_2_d8	nt_5_2	8	25.8	18300000	Streptomycin	2019-07-11	PBS	nt_5_2_d8	5	2019-04-11	NT5	colonized	dpi	nt_5_2_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse nt_5_2 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_2 , Day 8 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_1_d8	f_5_1	8	25.9	0	Streptomycin	2019-07-11	-1	f_5_1_d8	5	2019-04-25	F5	uninfected	dpi	f_5_1_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse f_5_1 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_1 , Day 8 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_2_d8	f_5_2	8	23.8	0	Streptomycin	2019-07-11	-1	f_5_2_d8	5	2019-04-25	F5	uninfected	dpi	f_5_2_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse f_5_2 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_2 , Day 8 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_1_d8	m_5_1	8	24.8	4800	Streptomycin	2019-07-11	-2	m_5_1_d8	5	2019-04-25	M5	cleared	dpi	m_5_1_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse m_5_1 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_1 , Day 8 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_2_d8	m_5_2	8	26.4	0	Streptomycin	2019-07-11	-2	m_5_2_d8	5	2019-04-25	M5	cleared	dpi	m_5_2_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse m_5_2 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_2 , Day 8 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_1_d8	l_5_1	8	24.1	0	Streptomycin	2019-07-11	-3	l_5_1_d8	5	2019-04-11	L5	cleared	dpi	l_5_1_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse l_5_1 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_1 , Day 8 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_2_d8	l_5_2	8	25.6	0	Streptomycin	2019-07-11	-3	l_5_2_d8	5	2019-04-11	L5	cleared	dpi	l_5_2_d8	Day 8 ,relative to C. difficile challenge, fecal sample from mouse l_5_2 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_2 , Day 8 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_1_d9	nt_5_1	9	26.9	7600000	Streptomycin	2019-07-12	PBS	nt_5_1_d9	5	2019-04-11	NT5	colonized	dpi	nt_5_1_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse nt_5_1 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_1 , Day 9 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_2_d9	nt_5_2	9	25.7	13000000	Streptomycin	2019-07-12	PBS	nt_5_2_d9	5	2019-04-11	NT5	colonized	dpi	nt_5_2_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse nt_5_2 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_2 , Day 9 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_1_d9	f_5_1	9	25.4	0	Streptomycin	2019-07-12	-1	f_5_1_d9	5	2019-04-25	F5	uninfected	dpi	f_5_1_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse f_5_1 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_1 , Day 9 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_2_d9	f_5_2	9	23.8	0	Streptomycin	2019-07-12	-1	f_5_2_d9	5	2019-04-25	F5	uninfected	dpi	f_5_2_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse f_5_2 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_2 , Day 9 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_1_d9	m_5_1	9	25.3	0	Streptomycin	2019-07-12	-2	m_5_1_d9	5	2019-04-25	M5	cleared	dpi	m_5_1_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse m_5_1 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_1 , Day 9 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_2_d9	m_5_2	9	27	0	Streptomycin	2019-07-12	-2	m_5_2_d9	5	2019-04-25	M5	cleared	dpi	m_5_2_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse m_5_2 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_2 , Day 9 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_1_d9	l_5_1	9	24.6	0	Streptomycin	2019-07-12	-3	l_5_1_d9	5	2019-04-11	L5	cleared	dpi	l_5_1_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse l_5_1 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_1 , Day 9 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_2_d9	l_5_2	9	25.6	0	Streptomycin	2019-07-12	-3	l_5_2_d9	5	2019-04-11	L5	cleared	dpi	l_5_2_d9	Day 9 ,relative to C. difficile challenge, fecal sample from mouse l_5_2 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_2 , Day 9 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_1_d10	nt_5_1	10	26.9	7000000	Streptomycin	2019-07-13	PBS	nt_5_1_d10	5	2019-04-11	NT5	colonized	dpi	nt_5_1_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse nt_5_1 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_1 , Day 10 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_5_2_d10	nt_5_2	10	26.1	29600000	Streptomycin	2019-07-13	PBS	nt_5_2_d10	5	2019-04-11	NT5	colonized	dpi	nt_5_2_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse nt_5_2 cage NT5 , which received the fecal community transplant treatment PBS	Mouse nt_5_2 , Day 10 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_1_d10	f_5_1	10	25.5	0	Streptomycin	2019-07-13	-1	f_5_1_d10	5	2019-04-25	F5	uninfected	dpi	f_5_1_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse f_5_1 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_1 , Day 10 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_5_2_d10	f_5_2	10	24	0	Streptomycin	2019-07-13	-1	f_5_2_d10	5	2019-04-25	F5	uninfected	dpi	f_5_2_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse f_5_2 cage F5 , which received the fecal community transplant treatment -1	Mouse f_5_2 , Day 10 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_1_d10	m_5_1	10	25.6	0	Streptomycin	2019-07-13	-2	m_5_1_d10	5	2019-04-25	M5	cleared	dpi	m_5_1_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse m_5_1 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_1 , Day 10 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_5_2_d10	m_5_2	10	27.3	0	Streptomycin	2019-07-13	-2	m_5_2_d10	5	2019-04-25	M5	cleared	dpi	m_5_2_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse m_5_2 cage M5 , which received the fecal community transplant treatment -2	Mouse m_5_2 , Day 10 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_1_d10	l_5_1	10	24.7	0	Streptomycin	2019-07-13	-3	l_5_1_d10	5	2019-04-11	L5	cleared	dpi	l_5_1_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse l_5_1 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_1 , Day 10 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_5_2_d10	l_5_2	10	25.5	0	Streptomycin	2019-07-13	-3	l_5_2_d10	5	2019-04-11	L5	cleared	dpi	l_5_2_d10	Day 10 ,relative to C. difficile challenge, fecal sample from mouse l_5_2 cage L5 , which received the fecal community transplant treatment -3	Mouse l_5_2 , Day 10 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
NT_6_0_dminus9	NT_6_0	-9	28	0	Streptomycin	2019-07-08	PBS	NT_6_0_dminus9	6	2019-05-01	NT6	colonized	initial	NT_6_0_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse NT_6_0 cage NT6 , which received the fecal community transplant treatment PBS	Mouse NT_6_0 , Day -9 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
NT_6_R_dminus9	NT_6_R	-9	25.2	0	Streptomycin	2019-07-08	PBS	NT_6_R_dminus9	6	2019-05-01	NT6	colonized	initial	NT_6_R_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse NT_6_R cage NT6 , which received the fecal community transplant treatment PBS	Mouse NT_6_R , Day -9 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
F_6_0_dminus9	F_6_0	-9	26.6	0	Streptomycin	2019-07-08	-1	F_6_0_dminus9	6	2019-05-01	F6	cleared	initial	F_6_0_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse F_6_0 cage F6 , which received the fecal community transplant treatment -1	Mouse F_6_0 , Day -9 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
F_6_R_dminus9	F_6_R	-9	26.3	0	Streptomycin	2019-07-08	-1	F_6_R_dminus9	6	2019-05-01	F6	cleared	initial	F_6_R_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse F_6_R cage F6 , which received the fecal community transplant treatment -1	Mouse F_6_R , Day -9 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
M_6_0_dminus9	M_6_0	-9	26.4	0	Streptomycin	2019-07-08	-2	M_6_0_dminus9	6	2019-04-28	M6	cleared	initial	M_6_0_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse M_6_0 cage M6 , which received the fecal community transplant treatment -2	Mouse M_6_0 , Day -9 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
M_6_R_dminus9	M_6_R	-9	27.8	0	Streptomycin	2019-07-08	-2	M_6_R_dminus9	6	2019-04-28	M6	cleared	initial	M_6_R_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse M_6_R cage M6 , which received the fecal community transplant treatment -2	Mouse M_6_R , Day -9 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
L_6_0_dminus9	L_6_0	-9	26.2	0	Streptomycin	2019-07-08	-3	L_6_0_dminus9	6	2019-04-28	L6	cleared	initial	L_6_0_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse L_6_0 cage L6 , which received the fecal community transplant treatment -3	Mouse L_6_0 , Day -9 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
L_6_R_dminus9	L_6_R	-9	28.5	0	Streptomycin	2019-07-08	-3	L_6_R_dminus9	6	2019-04-28	L6	cleared	initial	L_6_R_dminus9	Day -9 ,relative to C. difficile challenge, fecal sample from mouse L_6_R cage L6 , which received the fecal community transplant treatment -3	Mouse L_6_R , Day -9 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
NT_6_0_dminus4	NT_6_0	-4	28.4	0	Streptomycin	2019-07-13	PBS	NT_6_0_dminus4	6	2019-05-01	NT6	colonized	stop_antibiotic	NT_6_0_dminus4	Day -4 ,relative to C. difficile challenge, fecal sample from mouse NT_6_0 cage NT6 , which received the fecal community transplant treatment PBS	Mouse NT_6_0 , Day -4 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
NT_6_R_dminus4	NT_6_R	-4	24.3	0	Streptomycin	2019-07-13	PBS	NT_6_R_dminus4	6	2019-05-01	NT6	colonized	stop_antibiotic	NT_6_R_dminus4	Day -4 ,relative to C. difficile challenge, fecal sample from mouse NT_6_R cage NT6 , which received the fecal community transplant treatment PBS	Mouse NT_6_R , Day -4 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
F_6_0_dminus4	F_6_0	-4	25.8	0	Streptomycin	2019-07-13	-1	F_6_0_dminus4	6	2019-05-01	F6	cleared	stop_antibiotic	F_6_0_dminus4	Day -4 ,relative to C. difficile challenge, fecal sample from mouse F_6_0 cage F6 , which received the fecal community transplant treatment -1	Mouse F_6_0 , Day -4 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
